"year","no_property","featurenam","energy_tJ","CO2_offset_tonnes"
2012,815,"Parkville",0.905067327005793,67.2166351747392
2013,815,"Parkville",0.955036651143843,68.6805057303583
2014,815,"Parkville",1.00500597528189,70.8880964665083
2015,815,"Parkville",1.05497529941994,75.3252363785839
2016,815,"Parkville",1.10494462355799,80.6775316890868
2017,815,"Parkville",1.14126226845406,80.7853909347893
2018,815,"Parkville",1.17757991335013,82.425883614856
2019,815,"Parkville",1.2138975582462,82.9868926719435
2020,815,"Parkville",1.25021520314228,82.1641431505103
2021,815,"Parkville",1.28653284803835,85.1568957445062
2011,120,"Port Melbourne",0.4264834660596,31.2774444338789
2012,120,"Port Melbourne",0.43493113955088,32.3010309410252
2013,120,"Port Melbourne",0.44337881304216,31.8851439611139
2014,120,"Port Melbourne",0.45182648653344,31.8695812276362
2015,120,"Port Melbourne",0.46027416002472,32.863575025765
2016,120,"Port Melbourne",0.468721833516,34.2237246741707
2017,120,"Port Melbourne",0.4764278511576,33.7244218720419
2018,120,"Port Melbourne",0.4841338687992,33.8874342804688
2019,120,"Port Melbourne",0.4918398864408,33.6241419966389
2020,120,"Port Melbourne",0.4995459040824,32.8301568162953
2021,120,"Port Melbourne",0.507251921724,33.5755119508333
2011,768,"South Yarra",0.0636379860364745,4.66708261994297
2012,768,"South Yarra",0.0828434841733535,6.15253703910244
2013,768,"South Yarra",0.102048982310232,7.33875051385806
2014,768,"South Yarra",0.121254480447111,8.552684778337
2015,768,"South Yarra",0.14045997858399,10.0288424708969
2016,768,"South Yarra",0.159665476720869,11.6579747827743
2017,768,"South Yarra",0.164286684807,11.6291972707483
2018,768,"South Yarra",0.16890789289313,11.8228768709475
2019,768,"South Yarra",0.17352910097926,11.8631434593461
2020,768,"South Yarra",0.178150309065391,11.7080383117775
2021,768,"South Yarra",0.182771517151521,12.0978294917763
2011,235,"Southbank",1.09056363497622,79.9797558618858
2012,235,"Southbank",1.14264457703078,84.8607848023449
2013,235,"Southbank",1.19472551908534,85.9174909795032
2014,235,"Southbank",1.2468064611399,87.9434937365031
2015,235,"Southbank",1.29888740319447,92.7405605880848
2016,235,"Southbank",1.35096834524903,98.6409537283577
2017,235,"Southbank",1.37809333082258,97.5497145156072
2018,235,"Southbank",1.40521831639613,98.3596612744638
2019,235,"Southbank",1.43234330196969,97.9207174958557
2020,235,"Southbank",1.45946828754324,95.9162558573418
2021,235,"Southbank",1.48659327311679,98.3990953408737
2011,129,"West Melbourne (Industrial)",0.292354561972476,21.4406988659374
2012,129,"West Melbourne (Industrial)",0.308620864911996,22.9203457744192
2013,129,"West Melbourne (Industrial)",0.324887167851516,23.3639357888739
2014,129,"West Melbourne (Industrial)",0.341153470791036,24.0632600622457
2015,129,"West Melbourne (Industrial)",0.357419773730556,25.5197718443617
2016,129,"West Melbourne (Industrial)",0.373686076670076,27.2846888880656
2017,129,"West Melbourne (Industrial)",0.388994576095836,27.5353700635198
2018,129,"West Melbourne (Industrial)",0.404303075521596,28.2995980742096
2019,129,"West Melbourne (Industrial)",0.419611574947356,28.686325709701
2020,129,"West Melbourne (Industrial)",0.434920074373116,28.5829472878012
2021,129,"West Melbourne (Industrial)",0.450228573798876,29.8010795283214
2011,931,"West Melbourne (Residential)",0.244204583879634,17.9094757725646
2012,931,"West Melbourne (Residential)",0.270713417876919,20.1050734054652
2013,931,"West Melbourne (Residential)",0.297222251874205,21.3744410212816
2014,931,"West Melbourne (Residential)",0.32373108587149,22.8343721419455
2015,931,"West Melbourne (Residential)",0.350239919868775,25.0071302786305
2016,931,"West Melbourne (Residential)",0.37674875386606,27.5083102635304
2017,931,"West Melbourne (Residential)",0.390893887529197,27.6698147226417
2018,931,"West Melbourne (Residential)",0.405039021192334,28.3511113273786
2019,931,"West Melbourne (Residential)",0.41918415485547,28.6571055625394
2020,931,"West Melbourne (Residential)",0.433329288518607,28.4784008414429
2021,931,"West Melbourne (Residential)",0.447474422181744,29.6187794786318
